|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
|  | G | 4148 Freiwillige Zuwendungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4149 Pauschale Steuer auf sonstige Bezüge (z. B. Fahrtkostenzuschüsse); 4150 Krankengeldzuschüsse; 4151 Sachzuwendungen und Dienstleistungen an Minijobber; 4152 Sachzuwendungen und Dienstleistungen an Arbeitnehmer; 4153 Sachzuwendungen und Dienstleistungen an Gesellschafter-Geschäftsführer |
| Löhne und Gehälter | G | 4154 Sachzuwendungen und Dienstleistungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4155 Zuschüsse der Agenturen für Arbeit (Haben); 4156 Aufwendungen aus der Veränderung von Urlaubsrückstellungen; 4157 Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Gesellschafter-Geschäftsführer |
|  | G | 4158 Aufwendungen aus der Veränderung von Urlaubsrückstellungen für angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4159 Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Minijobber |
| Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung | G | 4160 Versorgungskassen; 4165 Aufwendungen für Altersversorgung; 4166 Aufwendungen für Altersversorgung für Gesellschafter-Geschäftsführer; 4167 Pauschale Steuer auf sonstige Bezüge (z. B. Direktversicherungen); 4168 Aufwendungen für Altersversorgung für Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4169 Aufwendungen für Unterstützung |
| Löhne und Gehälter | G | 4170 Vermögenswirksame Leistungen; 4175 Fahrtkostenerstattung - Wohnung/Arbeitsstätte; 4180 Bedienungsgelder; 4190 Aushilfslöhne; 4194 Pauschale Steuer für Minijobber; 4195 Löhne für Minijobs; 4196 Pauschale Steuer für Gesellschafter-Geschäftsführer; 4197 Pauschale Steuer für angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4198 Pauschale Steuer für Arbeitnehmer; 4199 Pauschale Steuer für Aushilfen |
|  |  | **Sonstige betriebliche Aufwendungen und Abschreibungen** |
| Sonstige betriebliche Aufwendungen | G K | 4200 Raumkosten; 4210 Miete (unbewegliche Wirtschaftsgüter) |
|  | G K | 4211 Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind |
|  |  | 4212 Miete/Aufwendungen für doppelte Haushaltsführung Unternehmer |
|  | G K | 4215 Leasing (unbewegliche Wirtschaftsgüter) |
|  | G | 4219 Vergütungen an Mitunternehmer für die mietweise Überlassung ihrer unbeweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
|  | G K | 4220 Pacht (unbewegliche Wirtschaftsgüter) |
|  | K | 4222 Vergütungen an Gesellschafter für die miet- oder pachweise Überlassung unbeweglicher Wirtschaftsgüter |
| Sonstige betriebliche Aufwendungen | G | 4228 Miet- und Pachtnebenkosten, die gewerbesteuerlich nicht hinzuzurechnen sind; 4229 Vergütungen an Mitunternehmer für die pachtweise Überlassung ihrer unbeweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4230 Heizung; 4240 Gas, Strom, Wasser; 4250 Reinigung; 4260 Instandhaltung betrieblicher Räume; 4270 Abgaben für betrieblich genutzten Grundbesitz; 4280 Sonstige Raumkosten; 4287 Tagespauschale für die Tätigkeit in der häuslichen Wohnung; 4288 Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil); 4289 Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil); 4290 Grundstücksaufwendungen betrieblich; 4300 Nicht abziehbare Vorsteuer; 4301 Nicht abziehbare Vorsteuer 7 %; R 4304 -05; 4306 Nicht abziehbare Vorsteuer 19 % |
| Steuern vom Einkommen und Ertrag | G K | 4320 Gewerbesteuer |
| Sonstige Steuern |  | 4340 Sonstige Betriebssteuern; 4350 Verbrauchsteuer (sonstige Steuern); 4355 Ökosteuer |
| Sonstige betriebliche Aufwendungen | G K | 4360 Versicherungen; 4366 Versicherungen für Gebäude; 4370 Netto-Prämie für Rückdeckung künftiger Versorgungsleistungen; 4380 Beiträge; 4390 Sonstige Abgaben; 4396 Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder; 4397 Steuerlich nicht abzugsfähige Verspätungszuschläge und Zwangsgelder der 4400 (zur freien Verfügung) -99; 4500 Fahrzeugkosten |
| Sonstige Steuern |  | 4510 Kfz-Steuer |
| Sonstige betriebliche Aufwendungen | G K | 4520 Fahrzeug-Versicherungen; 4530 Laufende Fahrzeug-Betriebskosten; 4540 Fahrzeug-Reparaturen; 4550 Garagenmiete; 4560 Mautgebühren; 4570 Mietleasing Kfz; 4575 Mietleasingaufwendungen für Elektrofahrzeuge und Fahrräder, die gewerbesteuerlich hinzuzurechnen sind; 4580 Sonstige Fahrzeugkosten; 4590 Kosten für betrieblich genutzte zum Privatvermögen gehörende Fahrzeuge; 4595 Fremdfahrzeugkosten; 4600 Werbekosten; 4605 Steueraufwendungen |
| Sonstige betriebliche Aufwendungen |   | 4630 Geschenke abzugsfähig ohne § 37b EStG; 4631 Geschenke abzugsfähig mit § 37b EStG; 4632 Pauschale Steuer für Geschenke und Zuwendungen abzugsfähig; 4635 Geschenke nicht abzugsfähig ohne § 37b EStG; 4636 Geschenke nicht abzugsfähig mit § 37b EStG; 4637 Pauschale Steuer für Geschenke und Zuwendungen nicht abzugsfähig; 4638 Geschenke ausschließlich betrieblich genutzt; 4639 Zugaben mit § 37b EStG; 4640 Repräsentationskosten; 4650 Bewirtungskosten; 4651 Sonstige eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil); 4652 Sonstige eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil); 4653 Aufmerksamkeiten; 4654 Nicht abzugfähige Bewirtungskosten; 4655 Nicht abzugfähige Betriebsausgaben aus Werbe- und Repräsentationskosten; 4660 Reisekosten Arbeitnehmer; 4663 Reisekosten Arbeitnehmer Fahrtkosten; 4664 Reisekosten Arbeitnehmer Verpflegungsmehraufwand; 4666 Reisekosten Arbeitnehmer Übernachtungsaufwand; 4667 Kilometergelderstattung Arbeitnehmer; 4670 Reisekosten Unternehmer; 4672 Reisekosten Unternehmer (nicht abziehbarer Anteil); 4673 Reisekosten Unternehmer Fahrtkosten; 4674 Reisekosten Unternehmer Verpflegungsmehraufwand; 4675 Reisekosten Unternehmer Übernachtungsaufwand und Reisekosten; 4677 Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (abziehbarer Anteil) - Fahrzeuge im Betriebsvermögen; 4679 Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (nicht abziehbarer Anteil) - Fahrzeuge im Betriebsvermögen; 4680 Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (Haben) - Fahrzeuge im Betriebsvermögen; 4681 Verpflegungsmehraufwendungen im Rahmen der doppelten Haushaltsführung Unternehmer; 4685 Kosten der Warenabgabe; 4710 Verpackungsmaterial; 4730 Ausgangsfrachten; 4750 Transportversicherungen; 4760 Verkaufsprovisionen |
| G | K |  |
| G | K |  |
| G | K |  |
| G | K |  |
| G | K |  |
| G | K |  |
|  |  |  |
| G | K |  |
| G | K |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
|  |  |  |
| R |  |  |
|  |  |  |
| G |  |  |
|  |  |  |
|  |  |  |
| R |  |  |
|  |  |  |
| R |  |  |
|  |  |  |
| G |  |  |
| R |  |  |
|  |  |  |
| Sonstige betriebliche Aufwendungen | G K | 4790 Aufwand für Gewährleistungen;4800 Reparaturen und Instandhaltungen von technischen Anlagen und Maschinen;4801 Reparaturen und Instandhaltung von Bauten;4805 Reparaturen und Instandhaltungen von anderen Anlagen und Betriebs- und Geschäftsausstattung;4806 Wartungskosten für Hard- und Software;4808 Zuführung zu Aufwandsrückstellungen;4809 Sonstige Reparaturen und Instandhaltungen;4810 Mietleasing bewegliche Wirtschaftsgüter für technische Anlagen und Maschinen |
| Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen | HB | 4815 Kaufleasing;4822 Abschreibungen auf immaterielle Vermögensgegenstände;4823 Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände;4824 Abschreibungen auf den Geschäfts- oder Firmenwert;4825 Außerplanmäßige Abschreibungen auf den Geschäfts- oder Firmenwert;4826 Außerplanmäßige Abschreibungen auf immaterielle Vermögensgegenstände;4827 Außerplanmäßige Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände;4830 Abschreibungen auf Sachanlagen (ohne AfA auf Fahrzeuge und Gebäude);4831 Abschreibungen auf Gebäude;4832 Abschreibungen auf Fahrzeuge;4833 Abschreibungen auf Gebäudeanteil des häuslichen Arbeitszimmers;4840 Außerplanmäßige Abschreibungen auf Sachanlagen;4841 Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung der Gebäude;4842 Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung der Fahrzeuge;4843 Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung sonstiger Wirtschaftsgüter;4850 Abschreibungen auf Sachanlagen auf Grund steuerlicher Sondervorschriften |
|  | SB | 4851 Sonderabschreibungen nach § 7g Abs. 5 EStG (ohne Fahrzeuge) |
|  | SB | 4852 Sonderabschreibungen nach § 7g Abs. 5 EStG (für Fahrzeuge) |
|  | SB | 4853 Kürzung der Anschaffungs- oder Herstellungskosten nach § 7g Abs. 2 EStG (ohne Fahrzeuge) |
|  | SB | 4854 Kürzung der Anschaffungs- oder Herstellungskosten nach § 7g Abs. 2 EStG (für Fahrzeuge) |
|  |  | 4855 Sofortabschreibung geringwertiger Wirtschaftsgüter;4856 Sonderabschreibungen nach § 7b EStG (Mietwohnungsneubau);4859 Abzugsbetrag nach § 6b EStG;4860 Abschreibungen auf aktivierte Investitionszulagen |
| Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen |   | 4862 Abschreibungen auf den Sammelposten Wirtschaftsgüter; 4865 Außerplanmäßige Abschreibungen auf aktivierte, geringwertige Wirtschaftsgüter |
| Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens | HB | 4866 Abschreibungen auf Finanzanlagen (nicht dauerhaft) |
|  | G K | 4870 Abschreibungen auf Finanzanlagen (dauerhaft) |
|  | G K | 4871 Abschreibungen auf Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG (dauerhaft) |
|  |   | 4872 Aufwendungen auf Grund von Verlustanteilen an gewerblichen und selbständigen Mitunternehmerschaften, § 8 GewStG bzw. § 18 EStG |
|  |   | 4873 Abschreibungen auf Finanzanlagen auf Grund § 6b EStG-Rücklage, § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG |
|  |   | 4874 Abschreibungen auf Finanzanlagen auf Grund § 6b EStG-Rücklage |
|  |   | 4875 Abschreibungen auf Wertpapiere des Umlaufvermögens |
|  | G K | 4876 Abschreibungen auf Wertpapiere des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG |
|  |   | 4877 Abschreibungen auf Finanzanlagen - verbundene Unternehmen |
|  |   | 4878 Abschreibungen auf Wertpapiere des Umlaufvermögens - verbundene Unternehmen |
| Abschreibungen auf Vermögensgegenstände des Umlaufvermögens, soweit diese die in der Kapitalgesellschaft üblichen Abschreibungen überschreiten | SB | 4880 Abschreibungen auf sonstige Vermögensgegenstände des Umlaufvermögens (soweit unüblich hoch); 4882 Abschreibungen auf Umlaufvermögen, steuerrechtlich bedingt (soweit unüblich hoch) |
| Sonstige betriebliche Aufwendungen | SB | 4886 Abschreibungen auf Umlaufvermögen außer Vorräte und Wertpapiere des Umlaufvermögens (übliche Höhe); 4887 Abschreibungen auf Umlaufvermögen außer Vorräte und Wertpapiere des Umlaufvermögens, steuerrechtlich bedingt (übliche Höhe) |
| Abschreibungen auf Vermögensgegenstände des Umlaufvermögens, soweit diese die in der Kapitalgesellschaft üblichen Abschreibungen überschreiten |   | 4892 Abschreibungen auf Roh-, Hilfs- und Betriebsstoffe/Waren (soweit unübliche Höhe); 4893 Abschreibungen auf fertige und unfertige Erzeugnisse (soweit unübliche Höhe) |
| Sonstige betriebliche Aufwendungen |   | 4900 Sonstige betriebliche Aufwendungen;4902 Interimskonto für Aufwendungen in einem anderen Land, bei denen eine Vorsteuervergütung möglich ist;4905 Sonstige Aufwendungen betrieblich und regelmäßig;4909 Fremdleistungen/Fremdarbeiten;4910 Porto;4920 Telefon;4925 Internetkosten;4930 Bürobedarf;4940 Zeitschriften, Bücher, digitale Medien (Fachliteratur) |
|   |   | 4945 Fortbildungskosten;4946 Freiwillige Sozialleistungen |
| G |   | 4948 Sonstige Vergütungen an Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
| G |   | 4949 Haftungsvergütung an Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
|   |   | 4950 Rechts- und Beratungskosten;4955 Buchführungskosten;4957 Abschluss- und Prüfungskosten |
| K |   | 4958 Vergütungen an Gesellschafter für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter |
| G |   | 4959 Vergütungen an Mitunternehmer für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
| G K |   | 4960 Mieten für Einrichtungen (bewegliche Wirtschaftsgüter) |
| G K |   | 4961 Pacht (bewegliche Wirtschaftsgüter) |
| G K |   | 4963 Aufwendungen für gemietete oder gepachtete bewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind |
| G K |   | 4964 Aufwendungen für die zeitlich befristete Überlassung von Rechten (Lizenzen, Konzessionen) |
| G K |   | 4965 Mietleasing bewegliche Wirtschaftsgüter für Betriebs- und Geschäftsausstattung |
|   |   | 4969 Aufwendungen für Abraum- und Abfallbeseitigung;4970 Nebenkosten des Geldverkehrs;4971 Verwahrentgelt |
| G K |   | 4975 Aufwendungen aus Anteilen an Kapitalgesellschaften §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 und 4 KStG |
| G K |   | 4976 Veräußerungskosten § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (bei Buchgewinn) |
| G K |   | 4977 Veräußerungskosten § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i.V.m. § 8b Abs. 3 S. 3 KStG (bei Buchverlust) |
|   |   | 4980 Sonstiger Betriebsbedarf |
|   |   | 4984 Genossenschaftliche Rückvergütung an Mitglieder |
| Sonstige betriebliche Aufwendungen |   | 4985 Werkzeuge und Kleingeräte |
|  |  | Kalkulatorische Kosten |
| Sonstige betriebliche Aufwendungen |  | 4990 Kalkulatorischer Unternehmerlohn; 4991 Kalkulatorische Miete und Pacht; 4992 Kalkulatorische Zinsen; 4993 Kalkulatorische Abschreibungen; 4994 Kalkulatorische Wagnisse; 4995 Kalkulatorischer Lohn für unentgeltliche Mitarbeiter |
|  |  | Kosten bei Anwendung des Umsatzkostenverfahrens |
| Sonstige betriebliche Aufwendungen |  | 4996 Herstellungskosten; 4997 Verwaltungskosten; 4998 Vertriebskosten; 4999 Gegenkonto 4996-4998 |
| Sonstige betriebliche Aufwendungen |  | 5000; -5999 |
|  |  |  |
| GuV-Posten | Programmverbindung; Abschlusszweck | 6 |
| Sonstige betriebliche Aufwendungen |  | 6000; -6999 |
|  |  |  |
| Bilanz-Posten | Programmverbindung; Abschlusszweck | 7; Bestände an Erzeugnissen |
|  | KU; 7000-7999 |  |
| Unfertige Erzeugnisse, unfertige Leistungen |  | 7000 Unfertige Erzeugnisse, unfertige Leistungen (Bestand); 7050 Unfertige Erzeugnisse (Bestand); 7080 Unfertige Leistungen (Bestand) |
| In Ausführung befindliche Bauaufträge |  | 7090 In Ausführung befindliche Bauaufträge |
| In Arbeit befindliche Aufträge |  | 7095 In Arbeit befindliche Aufträge |
| Fertige Erzeugnisse und Waren |  | 7100 Fertige Erzeugnisse und Waren (Bestand); 7110 Fertige Erzeugnisse (Bestand); 7140 Waren (Bestand) |
|  |  |  |
| | | M 8000-8191; KU 8192-8193; M 8194-8603; KU 8604; M 8605-8613; KU 8614; M 8615-8904; KU 8905-8906; M 8907-8917; KU 8918-8919; M 8920-8923; KU 8924; M 8925-8928; KU 8929; M 8930-8938; KU 8939; M 8940-8948; KU 8949-8999 |
| | | Umsatzerlöse |
| Umsatzerlöse | | 8000 Umsatzerlöse; -99 (Zur freien Verfügung) |
| U | AM 8100 | Steuerfreie Umsätze -04 § 4 Nr. 8 ff. UStG |
| U | AM 8105 | Steuerfreie Umsätze nach § 4 Nr. 12 UStG (Vermietung und Verpachtung) |
| U | AM 8110 | Sonstige steuerfreie Umsätze Inland |
| U | AM 8120 | Steuerfreie Umsätze nach § 4 Nr. 1a UStG |
| U | AM 8125 | Steuerfreie innergemeinschaftliche Lieferungen nach § 4 Nr. 1b UStG |
| R | 8128 | |
| U | AM 8130 | Lieferungen des ersten Abnehmers bei innergemeinschaftlichen Dreiecksgeschäften § 25b Abs. 2 UStG |
| U | AM 8135 | Steuerfreie innergemeinschaftliche Lieferungen von Neufahrzeugen an Abnehmer ohne USt-Id-Nr. |
| U | AM 8140 | Steuerfreie Umsätze Offshore usw. |
| U | AM 8150 | Sonstige steuerfreie Umsätze (z. B. § 4 Nr. 2 bis 7 UStG) |
| U | AM 8160 | Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend, § 4 UStG |
| U | AM 8165 | Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend |
| | 8190 | Erlöse, die mit den Durchschnittssätzen des § 24 UStG versteuert werden |
| U | AM 8191 | Umsatzerlöse nach §§ 25 und 25a UStG 19 % USt |
| U | AM 8192 | Steuerfreie Erlöse Kleinunternehmer nach § 19 Abs. 1 UStG |
| | 8193 | Umsatzerlöse nach §§ 25 und 25a UStG ohne USt |
| U | AM 8194 | Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei |
| | 8195 | Erlöse als Kleinunternehmer nach § 19 Abs. 1 UStG a. F. |
| U | AM 8196 | Erlöse aus Geldspielautomaten 19 % USt |
| R | 8197 | -98 |
| | 8200 | Erlöse |
| U | AM 8290 | Erlöse 0 % USt |
| U | AM 8300 | Erlöse 7 % USt -09 |
| U | AM 8310 | Erlöse aus im Inland steuerpflicht... |
| Umsatzerlöse | U | 8315 Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt; 8320 Erlöse aus im anderen EU-Land steuerpflichtigen Lieferungen, im Inland nicht steuerbar; 8331 Erlöse aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen |
| | | 8332 |
| | U | 8334 Erlöse 7 % USt |
| | U | 8335 Erlöse aus Lieferungen von Mobilfunkgeräten, Tablet-Computern, Spielekonsolen und integrierten Schaltkreisen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet |
| | U | 8336 Erlöse aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet |
| | U | 8337 Erlöse aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet |
| | U | 8338 Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze |
| | U | 8339 Erlöse aus im anderen EU-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze |
| | U | 8340 Erlöse 16 % USt |
| | U | 8400 Erlöse 19 % USt |
| | U | 8410 Erlöse 19 % USt; 8420 |
| | U | 8449 Erlöse aus im Inland steuerpflichtigen elektronischen Dienstleistungen 19 % USt; 8499 Nebenerlöse (Bezug zu Materialaufwand) |
| | | Konten für die Verbuchung von Sonderbetriebseinnahmen |
| | | 8500 Sonderbetriebseinnahmen, Tätigkeitsvergütung; 8501 Sonderbetriebseinnahmen, Miet-/Pachteinnahmen; 8502 Sonderbetriebseinnahmen, Zinseinnahmen; 8503 Sonderbetriebseinnahmen, Haftungsvergütung; 8504 Sonderbetriebseinnahmen, Pensionszahlungen; 8505 Sonderbetriebseinnahmen, sonstige Sonderbetriebseinnahmen |
| Umsatzerlöse | | 8510 Provisionsumsätze; 8511; 8514 Provisionsumsätze, steuerfrei § 4 Nr. 8 ff. UStG; 8515 Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG; 8516; 8519 Provisionsumsätze 19 % USt; 8520 Erlöse Abfallverwertung; 8540 Erlöse Leergut |
| Umsatzerlöse |         | 8570 Sonstige Erträge aus Provisionen, Lizenzen und Patenten; R 8571 -73 |
|             | U       | AM 8574 Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 8 ff. UStG |
|             | U       | AM 8575 Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 5 UStG |
|             | U       | AM 8576 Sonstige Erträge aus Provisionen, Lizenzen und Patenten 7 % USt |
|             |         | R 8577 -78 |
|             | U       | AM 8579 Sonstige Erträge aus Provisionen, Lizenzen und Patenten 19 % USt |
|             |         | Statistische Konten EÜR; 8580 Statistisches Konto Erlöse zum allgemeinen Umsatzsteuersatz (EÜR); 8581 Statistisches Konto Erlöse zum ermäßigten Umsatzsteuersatz (EÜR); 8582 Statistisches Konto Erlöse steuerfrei und nicht steuerbar (EÜR); 8589 Gegenkonto 8580-8582 bei Aufteilung der Erlöse nach Steuersätzen (EÜR) |
| Sonstige betriebliche Erträge | U       | 8590 Verrechnete sonstige Sachbezüge (keine Waren); AM 8591 Sachbezüge 7 % USt (Waren); R 8594; U AM 8595 Sachbezüge 19 % USt (Waren); R 8596 -97; 8600 Sonstige Erlöse betrieblich und regelmäßig; 8603 Sonstige betriebliche Erträge; 8604 Erstattete Vorsteuer anderer Länder; 8605 Sonstige Erträge betrieblich und regelmäßig; 8606 Sonstige betriebliche Erträge von verbundenen Unternehmen |
| Umsatzerlöse |         | 8607 Andere Nebenerlöse |
| Sonstige betriebliche Erträge | U       | AM 8609 Sonstige Erträge betrieblich und regelmäßig, steuerfrei § 4 Nr. 8 ff. UStG; 8610 Verrechnete sonstige Sachbezüge; U AM 8611 Verrechnete sonstige Sachbezüge aus Fahrzeug-Gestellung 19 % USt; R 8612; U AM 8613 Verrechnete sonstige Sachbezüge 19 % USt; 8614 Verrechnete sonstige Sachbezüge ohne Umsatzsteuer; U AM 8625 Sonstige betriebliche Erträge, steuerfrei z. B. § 4 Nr. 2 bis 7 UStG -29; U AM 8630 Sonstige Erträge betrieblich und regelmäßig 7 % USt -34; R 8635 -39; U AM 8640 Sonstige Erträge betrieblich und regelmäßig 19 % USt -44; R 8645 -48; U AM 8649 Sonstige Erträge betrieblich und regelmäßig 16 % USt |
|   |   | 8650 Erlöse Zinsen und Diskontspesen; 8660 Erlöse Zinsen und Diskontspesen aus verbundenen Unternehmen |
| Sonstige Zinsen und ähnliche Erträge |   |   |
| Umsatzerlöse |   | 8700 Erlösschmälerungen; AM 8701 Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 8 ff. UStG; AM 8702 Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 2 bis 7 UStG; AM 8703 Erlösschmälerungen für sonstige steuerfreie Umsätze ohne Vorsteuerabzug; AM 8704 Erlösschmälerungen für sonstige steuerfreie Umsätze mit Vorsteuerabzug; AM 8705 Erlösschmälerungen aus steuerfreien Umsätzen § 4 Nr. 1a UStG; AM 8706 Erlösschmälerungen für steuerfreie innergemeinschaftliche Dreiecksgeschäfte nach § 25b Abs. 2 und 4 UStG; AM 8710 Erlösschmälerungen 7 % USt; R 8712; AM 8719 Erlösschmälerungen 0 % USt; AM 8720 Erlösschmälerungen 19 % USt; R 8722; AM 8724 Erlösschmälerungen aus steuerfreien innergemeinschaftlichen Lieferungen; AM 8725 Erlösschmälerungen aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt; AM 8726 Erlösschmälerungen aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt; 8727 Erlösschmälerungen aus im anderen EU-Land steuerpflichtigen Lieferungen; R 8728; S/AM 8730 Gewährte Skonti; S/AM 8731 Gewährte Skonti 7 % USt; R 8732; S/AM 8734 Gewährte Skonti 0 % USt; R 8735; S/AM 8736 Gewährte Skonti 19 % USt; R 8737; S/AM 8738 Gewährte Skonti aus Lieferungen von Mobilfunkgeräten etc., für die der Leistungsempfänger die Umsatzsteuer nach § 13b Abs. 2 Nr. 10 UStG schuldet; S/AM 8741 Gewährte Skonti aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet; S/AM 8742 Gewährte Skonti aus Erlösen aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet; S/AM 8743 Gewährte Skonti aus steuerfreien innergemeinschaftlichen Lieferungen § 4 Nr. 1b UStG; R 8744; S/AM 8745 Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt; S/AM 8746 Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt; 8747 Gewährte Skonti aus im anderen EU-Land steuerpflichtigen Lieferungen |

| Umsatzerlöse | U | S/AM 8746 Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt; R 8747 |
|  | U | S/AM 8748 Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt; R 8749 |
|  | U | AM 8750 Gewährte Boni 7 % USt; -51; R 8752; -59 |
|  | U | AM 8760 Gewährte Boni 19 % USt; -61; R 8762; -68; 8769 Gewährte Boni |
|  |  | 8770 Gewährte Rabatte |
|  | U | AM 8780 Gewährte Rabatte 7 % USt; -81; R 8782; -89 |
|  | U | AM 8790 Gewährte Rabatte 19 % USt; -91; R 8792; -99 |
| Sonstige betriebliche Aufwendungen | U | 8800 Erlöse aus Verkäufen Sachanlagevermögen (bei Buchverlust) |
|  | U | AM 8801 Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchverlust); -06 |
|  | U | AM 8807 Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1a UStG (bei Buchverlust) |
|  | U | AM 8808 Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1b UStG (bei Buchverlust); R 8809; -16 |
|  |  | 8817 Erlöse aus Verkäufen immaterieller Vermögensgegenstände (bei Buchverlust) |
|  |  | 8818 Erlöse aus Verkäufen Finanzanlagen (bei Buchverlust) |
|  | G K | 8819 Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (bei Buchverlust) |
| Sonstige betriebliche Erträge | U | AM 8820 Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchgewinn); -25; R 8826 |
|  | U | AM 8827 Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1a UStG (bei Buchgewinn) |
|  | U | AM 8828 Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1b UStG (bei Buchgewinn) |
|  |  | 8829 Erlöse aus Verkäufen Sachanlagevermögen (bei Buchgewinn); R 8830; -36 |
|  |  | 8837 Erlöse aus Verkäufen immaterieller Vermögensgegenstände (bei Buchgewinn) |
|  |  | 8838 Erlöse aus Verkäufen Finanzanlagen (bei Buchgewinn) |
